miRNA_ID	Target_ID
hsa-miR-23a-3p	ENSG00000112984
hsa-miR-23a-3p	ENSG00000105323
hsa-miR-23a-3p	ENSG00000150753
hsa-miR-23a-3p	ENSG00000165916
hsa-miR-23a-3p	ENSG00000163527
hsa-miR-23a-3p	ENSG00000141759
hsa-miR-23a-3p	ENSG00000241399
hsa-miR-23a-3p	ENSG00000161904
hsa-miR-23a-3p	ENSG00000138399
hsa-miR-23a-3p	ENSG00000004478
hsa-miR-23a-3p	ENSG00000286522
hsa-miR-23a-3p	ENSG00000090905
hsa-miR-23a-3p	ENSG00000072041
hsa-miR-23a-3p	ENSG00000134333
hsa-miR-23a-3p	ENSG00000152234
hsa-miR-23a-3p	ENSG00000178074
hsa-miR-23a-3p	ENSG00000170248
hsa-miR-23a-3p	ENSG00000131389
hsa-miR-23a-3p	ENSG00000163655
hsa-miR-23a-3p	ENSG00000197746
hsa-miR-23a-3p	ENSG00000153443
hsa-miR-23a-3p	ENSG00000168615
hsa-miR-23a-3p	ENSG00000120733
hsa-miR-23a-3p	ENSG00000156026
hsa-miR-23a-3p	ENSG00000172534
hsa-miR-23a-3p	ENSG00000009307
hsa-miR-23a-3p	ENSG00000124789
hsa-miR-23a-3p	ENSG00000125447
hsa-miR-23a-3p	ENSG00000115464
hsa-miR-23a-3p	ENSG00000215251
hsa-miR-27a-3p	ENSG00000092421
hsa-miR-27b-3p	ENSG00000092421
hsa-miR-23a-3p	ENSG00000039068
hsa-miR-27a-3p	ENSG00000105976
hsa-miR-143-3p	ENSG00000026508
hsa-miR-143-3p	ENSG00000102554
hsa-miR-143-3p	ENSG00000157764
hsa-miR-23b-3p	ENSG00000148516
hsa-miR-23a-3p	ENSG00000109787
hsa-miR-23a-3p	ENSG00000125347
hsa-miR-23a-3p	ENSG00000026103
hsa-miR-27a-3p	ENSG00000110092
hsa-miR-23a-3p	ENSG00000125148
hsa-miR-143-3p	ENSG00000135341
hsa-miR-143-3p	ENSG00000115526
hsa-miR-143-3p	ENSG00000100030
hsa-miR-143-3p	ENSG00000130635
hsa-miR-143-3p	ENSG00000134853
hsa-miR-143-3p	ENSG00000166949
hsa-miR-143-3p	ENSG00000198561
hsa-miR-143-3p	ENSG00000204262
hsa-miR-143-3p	ENSG00000065361
hsa-miR-23a-3p	ENSG00000154001
hsa-miR-27a-3p	ENSG00000164924
hsa-miR-27b-3p	ENSG00000150630
hsa-miR-143-3p	ENSG00000140443
hsa-miR-27b-3p	ENSG00000118260
hsa-miR-23a-3p	ENSG00000111716
hsa-miR-27a-3p	ENSG00000151012
hsa-miR-27a-3p	ENSG00000065559
hsa-miR-23a-3p	ENSG00000169429
hsa-miR-27a-3p	ENSG00000132170
hsa-miR-23a-3p	ENSG00000120868
hsa-miR-27b-3p	ENSG00000165029
hsa-miR-23b-3p	ENSG00000124813
hsa-miR-27a-3p	ENSG00000253293
hsa-miR-27a-3p	ENSG00000130164
hsa-miR-23a-3p	ENSG00000119408
hsa-miR-27a-3p	ENSG00000197746
hsa-miR-27b-3p	ENSG00000197746
hsa-miR-27a-3p	ENSG00000179348
hsa-miR-27b-3p	ENSG00000168958
hsa-miR-23a-3p	ENSG00000198121
hsa-miR-27a-3p	ENSG00000072401
hsa-miR-27b-3p	ENSG00000072401
hsa-miR-27a-3p	ENSG00000166224
hsa-miR-27b-3p	ENSG00000166224
hsa-miR-23a-5p	ENSG00000196233
hsa-miR-23b-5p	ENSG00000196233
hsa-miR-27a-3p	ENSG00000265972
hsa-miR-27b-3p	ENSG00000265972
hsa-miR-144-5p	ENSG00000143815
hsa-miR-23a-3p	ENSG00000116918
hsa-miR-23b-3p	ENSG00000116918
hsa-miR-23c	ENSG00000116918
hsa-miR-27a-3p	ENSG00000139644
hsa-miR-27b-3p	ENSG00000139644
hsa-miR-23a-3p	ENSG00000253719
hsa-miR-23b-3p	ENSG00000253719
hsa-miR-23c	ENSG00000253719
hsa-miR-23a-3p	ENSG00000130766
hsa-miR-23b-3p	ENSG00000130766
hsa-miR-23c	ENSG00000130766
hsa-miR-27b-3p	ENSG00000139324
hsa-miR-27a-3p	ENSG00000090061
hsa-miR-27b-3p	ENSG00000090061
hsa-miR-23b-3p	ENSG00000090905
hsa-miR-23c	ENSG00000090905
hsa-miR-27a-3p	ENSG00000170425
hsa-miR-29b-2-5p	ENSG00000091542
hsa-miR-27a-3p	ENSG00000264364
hsa-miR-27b-3p	ENSG00000264364
hsa-miR-27b-3p	ENSG00000130164
hsa-miR-143-3p	ENSG00000124209
hsa-miR-27a-3p	ENSG00000163848
hsa-miR-27b-3p	ENSG00000163848
hsa-miR-29b-2-5p	ENSG00000109756
hsa-miR-27a-3p	ENSG00000087274
hsa-miR-27b-3p	ENSG00000087274
hsa-miR-143-3p	ENSG00000091009
hsa-miR-23a-3p	ENSG00000083312
hsa-miR-27a-3p	ENSG00000083312
hsa-miR-23b-3p	ENSG00000083312
hsa-miR-27b-3p	ENSG00000083312
hsa-miR-23c	ENSG00000083312
hsa-miR-27a-3p	ENSG00000198087
hsa-miR-27b-3p	ENSG00000198087
hsa-miR-29b-2-5p	ENSG00000186480
hsa-miR-143-3p	ENSG00000106346
hsa-miR-27a-3p	ENSG00000242265
hsa-miR-27b-3p	ENSG00000242265
hsa-miR-23a-3p	ENSG00000148700
hsa-miR-23b-3p	ENSG00000148700
hsa-miR-23c	ENSG00000148700
hsa-miR-144-5p	ENSG00000198625
hsa-miR-143-3p	ENSG00000162368
hsa-miR-27a-3p	ENSG00000141279
hsa-miR-27b-3p	ENSG00000196227
hsa-miR-27a-3p	ENSG00000174738
hsa-miR-27b-3p	ENSG00000174738
hsa-miR-27a-3p	ENSG00000118058
hsa-miR-27b-3p	ENSG00000118058
hsa-miR-27a-3p	ENSG00000060237
hsa-miR-27b-3p	ENSG00000060237
hsa-miR-23a-3p	ENSG00000139163
hsa-miR-23b-3p	ENSG00000139163
hsa-miR-23c	ENSG00000139163
hsa-miR-27a-3p	ENSG00000189266
hsa-miR-27b-3p	ENSG00000189266
hsa-miR-23a-3p	ENSG00000189266
hsa-miR-23b-3p	ENSG00000189266
hsa-miR-23c	ENSG00000189266
hsa-miR-27b-3p	ENSG00000136379
hsa-miR-27a-3p	ENSG00000141682
hsa-miR-27b-3p	ENSG00000141682
hsa-miR-27a-3p	ENSG00000142453
hsa-miR-27b-3p	ENSG00000142453
hsa-miR-27b-5p	ENSG00000124209
hsa-miR-27a-3p	ENSG00000082258
hsa-miR-27b-3p	ENSG00000082258
hsa-miR-27a-3p	ENSG00000182670
hsa-miR-27b-3p	ENSG00000182670
hsa-miR-27a-3p	ENSG00000160216
hsa-miR-27b-3p	ENSG00000160216
hsa-miR-27a-3p	ENSG00000152256
hsa-miR-27b-3p	ENSG00000152256
hsa-miR-23b-3p	ENSG00000178074
hsa-miR-23c	ENSG00000178074
hsa-miR-27a-3p	ENSG00000204217
hsa-miR-27b-3p	ENSG00000204217
hsa-miR-27a-3p	ENSG00000135932
hsa-miR-27b-3p	ENSG00000135932
hsa-miR-27a-3p	ENSG00000138036
hsa-miR-27b-3p	ENSG00000138036
hsa-miR-27a-3p	ENSG00000109184
hsa-miR-27b-3p	ENSG00000109184
hsa-miR-29b-2-5p	ENSG00000164466
hsa-miR-27a-3p	ENSG00000154359
hsa-miR-27b-3p	ENSG00000154359
hsa-miR-27a-3p	ENSG00000169813
hsa-miR-143-3p	ENSG00000156671
hsa-miR-27a-3p	ENSG00000108179
hsa-miR-27b-3p	ENSG00000108179
hsa-miR-27a-3p	ENSG00000142634
hsa-miR-27b-3p	ENSG00000142634
hsa-miR-27a-3p	ENSG00000057757
hsa-miR-27b-3p	ENSG00000057757
hsa-miR-27a-3p	ENSG00000174574
hsa-miR-27b-3p	ENSG00000174574
hsa-miR-27a-3p	ENSG00000198815
hsa-miR-27b-3p	ENSG00000198815
hsa-miR-143-3p	ENSG00000134717
hsa-miR-27a-3p	ENSG00000160551
hsa-miR-27b-3p	ENSG00000160551
hsa-miR-144-5p	ENSG00000160551
hsa-miR-143-3p	ENSG00000136504
hsa-miR-27a-3p	ENSG00000108510
hsa-miR-27b-3p	ENSG00000108510
hsa-miR-27b-5p	ENSG00000101751
hsa-miR-144-5p	ENSG00000196227
hsa-miR-23a-3p	ENSG00000172795
hsa-miR-23b-3p	ENSG00000172795
hsa-miR-23c	ENSG00000172795
hsa-miR-27b-3p	ENSG00000185127
hsa-miR-23a-3p	ENSG00000197134
hsa-miR-23b-3p	ENSG00000197134
hsa-miR-23c	ENSG00000197134
hsa-miR-27a-3p	ENSG00000123213
hsa-miR-27b-3p	ENSG00000123213
hsa-miR-27a-3p	ENSG00000152409
hsa-miR-27b-3p	ENSG00000152409
hsa-miR-27a-3p	ENSG00000116747
hsa-miR-27b-3p	ENSG00000116747
hsa-miR-23a-3p	ENSG00000163251
hsa-miR-27a-3p	ENSG00000174718
hsa-miR-27b-3p	ENSG00000174718
hsa-miR-27a-3p	ENSG00000136485
hsa-miR-27b-3p	ENSG00000136485
hsa-miR-144-5p	ENSG00000172201
hsa-miR-144-5p	ENSG00000165195
hsa-miR-23a-3p	ENSG00000163125
hsa-miR-23b-3p	ENSG00000163125
hsa-miR-23c	ENSG00000163125
hsa-miR-23a-3p	ENSG00000196371
hsa-miR-23b-3p	ENSG00000196371
hsa-miR-23c	ENSG00000196371
hsa-miR-143-3p	ENSG00000139112
hsa-miR-27b-5p	ENSG00000203667
hsa-miR-23a-3p	ENSG00000137872
hsa-miR-23b-3p	ENSG00000137872
hsa-miR-23c	ENSG00000137872
hsa-miR-143-3p	ENSG00000083844
hsa-miR-27a-3p	ENSG00000196862
hsa-miR-27b-3p	ENSG00000196862
hsa-miR-27a-3p	ENSG00000124380
hsa-miR-27b-3p	ENSG00000124380
hsa-miR-27a-3p	ENSG00000153989
hsa-miR-27b-3p	ENSG00000153989
hsa-miR-27a-3p	ENSG00000164778
hsa-miR-27b-3p	ENSG00000164778
hsa-miR-29b-2-5p	ENSG00000003989
hsa-miR-23a-3p	ENSG00000181690
hsa-miR-23b-3p	ENSG00000181690
hsa-miR-23c	ENSG00000181690
hsa-miR-23b-3p	ENSG00000104267
hsa-miR-27a-3p	ENSG00000106799
hsa-miR-27b-3p	ENSG00000106799
hsa-miR-23a-3p	ENSG00000063587
hsa-miR-23b-3p	ENSG00000063587
hsa-miR-23c	ENSG00000063587
hsa-miR-23a-3p	ENSG00000060749
hsa-miR-23b-3p	ENSG00000060749
hsa-miR-23c	ENSG00000060749
hsa-miR-27b-5p	ENSG00000111775
hsa-miR-143-3p	ENSG00000160014
hsa-miR-27a-3p	ENSG00000163026
hsa-miR-27b-3p	ENSG00000163026
hsa-miR-27a-3p	ENSG00000152518
hsa-miR-27b-3p	ENSG00000152518
hsa-miR-29b-2-5p	ENSG00000091527
hsa-miR-27a-3p	ENSG00000120727
hsa-miR-27b-3p	ENSG00000120727
